##   ##  ######  ##   ##  ##   ##  #######
##   ##  ##      ### ###  ##   ##    ##   
#######  ##      #######  ##   ##    ##   
##   ##  ##      ## # ##  ##   ##    ##   
##   ##  ######  ##   ##   #####     ##   

author: 2352065-Tranducanh
==== RISC-V Register Update Trace ====
               Time(ns) | PC         INSTR      | Updates
---------------------------------------------------------------
               25000 | 00000000  00000000 | (no reg change)
               35000 | 00000004  ffc00513 | (no reg change)
               45000 | 00000008  00050113 | x10:00000000->fffffffc 
               55000 | 0000000c  00000097 | x2:00000000->fffffffc 
               65000 | 00000010  038080e7 | x1:00000000->0000000c 
               75000 | 00000044  08100293 | x1:0000000c->00000014 
               85000 | 00000048  00051337 | x5:00000000->00000081 
               95000 | 0000004c  61530313 | x6:00000000->00051000 
              105000 | 00000050  057623b7 | x6:00051000->00051615 
              115000 | 00000054  9f138393 | x7:00000000->05762000 
              125000 | 00000058  00100e13 | x7:05762000->057619f1 
              135000 | 0000005c  00100e93 | x28:00000000->00000001 
              145000 | 00000060  00c0006f | x29:00000000->00000001 
              155000 | 0000006c  01c60023 | (no reg change)
              165000 | 00000070  0006cf03 | (no reg change)
              175000 | 00000074  02ee8fb3 | x30:00000000->00000001 
              185000 | 00000078  00ff8fb3 | x31:00000000->00000001 
              195000 | 0000007c  010fec63 | (no reg change)
              205000 | 00000080  027fbfb3 | (no reg change)
              215000 | 00000084  004fdf93 | x31:00000001->057619f2 
              225000 | 00000088  ffff8f93 | x31:057619f2->0057619f 
              235000 | 0000008c  0100000f | x31:0057619f->0057619e 
              245000 | 00000090  0006cf83 | (no reg change)
              255000 | 00000094  004f7413 | x31:0057619e->00000001 
